"job_count",title,"company_name",location,"source_url",schedule
1,"IT Help Desk","Công ty TNHH MTV Chuyển phát nhanh Thuận Phong -  CN Hà Nội","- Bắc Ninh: (Tất cả phường)","https://www.topcv.vn/viec-lam/it-help-desk/2008320.html","−	Thời gian làm việc: Xoay ca , Làm 6 ngày 1 tuần - nghỉ 1 ngày trong tuần
▪	08h00 - 17h30
▪	20h00 - 04h30
−	Địa điểm làm việc: Long Biên, Thanh Trì"
1,"Nhân Viên Thiết Kế Graphic Design Thẩm Mỹ","CÔNG TY TNHH ĐẦU TƯ VÀ PHÁT TRIỂN THẨM MỸ JIMIN","- Hà Nội: Vũ Tông Phan, Phường Thanh Xuân (quận Thanh Xuân cũ)","https://www.topcv.vn/viec-lam/nhan-vien-thiet-ke-graphic-design-tham-my/1929091.html","Thời gian làm việc: 9:00 - 12:00 & 13:30 - 18:00 (26 ngày/ tháng)"
1,"Frontend Technical Leader (Vuejs)","CÔNG TY TNHH SAMSUNG SDS VIỆT NAM","- Hà Nội: PVI, Phường Cầu Giấy (quận Cầu Giấy cũ)","https://www.topcv.vn/viec-lam/frontend-technical-leader-vuejs/2114455.html","Working hours: 8.8 hours/day (Mon to Fri), flexible checkin from 6:00 am to 10:00 am."
1,"Graphic Design","Công Ty TNHH Mỹ Thuật Đa Phương Tiện Time Design","- Hà Nội: Nghách 17 Ngõ 371 La Thành, Ô Chợ Dừa, Phường Ô Chợ Dừa (quận Đống Đa cũ)","https://www.topcv.vn/viec-lam/graphic-design/2131149.html","Thứ 2 - Thứ 5 (từ 08:30 đến 17:30)"
1,"SOC Analyst Tier 1 - At Least 1 Year Of Experience","Công ty Cổ phần BPO Mắt Bão","- Hồ Chí Minh: 12A Núi Thành, Phường Tân Bình (quận Tân Bình cũ)","https://www.topcv.vn/viec-lam/soc-analyst-tier-1-at-least-1-year-of-experience/2118057.html","Xoay ca 24/7, ca 8 tiếng, off 2 ngày bất kì trong tuần"
1,"Performance Marketing Ads (Mobile App)","CÔNG TY TNHH ĐẦU TƯ VUCAPITAL","- Hà Nội: Vũ Trọng Phụng, Phường Thanh Xuân (quận Thanh Xuân cũ)","https://www.topcv.vn/viec-lam/performance-marketing-ads-mobile-app/2141777.html","- Giai đoạn đầu: Remote Full-time, sau vài tháng sẽ làm Offline tại VP;
- Thời gian làm việc: 7h/ngày, Sáng Thứ 2 - Sáng T7 hàng tuần (9h00-12h00, Chiều 13h30-17h30)- Sáng T7 làm Remote;"
1,"CTV Designer","CÔNG TY CỔ PHẦN GẠO NÂU PRODUCTION HOUSE","- Hồ Chí Minh: (Tất cả phường)","https://www.topcv.vn/viec-lam/ctv-designer/2143111.html","● Hình thức: Làm việc online, trao đổi qua các kênh nội bộ của team.
● Thời gian: Linh hoạt, đảm bảo deadline theo phân công."
1,"Senior AI / NLP Engineer (Salary Up To 40M Gross + Bonus)","Công ty Cổ phần Công nghệ Prep","- Hà Nội: Tòa nhà Vinaconex, 34 Láng Hạ (Q. Đống Đa cũ), Phường Láng (quận Đống Đa cũ)","https://www.topcv.vn/brand/congngheprep/tuyen-dung/senior-ai-nlp-engineer-salary-up-to-40m-gross-bonus-j2153594.html","[""From Monday to Friday (40 hours)""]"
1,"TTS Thiết Kế Đồ Họa","Language Link Việt Nam","- Hà Nội: 34T Hoàng Đạo Thúy, Phường Yên Hòa (quận Cầu Giấy cũ)","https://www.topcv.vn/viec-lam/tts-thiet-ke-do-hoa/226958.html","Yêu cầu ứng viên - Sinh viên năm 3 trở lên các ngành Mỹ thuật, Thiết kế đồ họa, Truyền thông hoặc liên quan, có nguyện vọng hướng đến các vị trí full-time sau khi tốt nghiệp hoặc đang tìm kiếm công việc dài hạn - Đã có kinh nghiệm Thiết kế đồ họa - Sử dụng các phần mềm thiết kế (như PTS, AI) - Có laptop cá nhân Quyền lợi - Mức lương: 35,000 VND/giờ - Môi trường làm việc trẻ trung, năng động - Hỗ trợ dấu thực tập nếu cần Địa điểm làm việc (đã được cập nhật theo Danh mục Hành chính mới - thêm quận/huyện cũ tương ứng để dễ dàng tra cứu) - Hà Nội: 34T Hoàng Đạo Thúy, Phường Yên Hòa (quận Cầu Giấy cũ)"
1,"2D Game Artist","CÔNG TY TNHH HOPPER VIỆT NAM","- Hồ Chí Minh: Phường Sài Gòn (Quận 1 cũ)","https://www.topcv.vn/viec-lam/2d-game-artist/1727334.html","Làm việc tại nhà"
1,"Chuyên Viên Thiết Kế - Designer","CÔNG TY CỔ PHẦN ĐẦU TƯ THƯƠNG MẠI KỸ THUẬT A&T VIỆT NAM","- Hà Nội: 15 Lê Văn Thiêm, Phường Thanh Xuân (quận Thanh Xuân cũ)","https://www.topcv.vn/viec-lam/chuyen-vien-thiet-ke-designer/1147104.html","linh hoạt, ưu tiên work-life balance. Trang thiết bị làm việc đầy đủ, chuyên nghiệp. Văn phòng làm việc hiện đại, chuyên nghiệp. Môi trường trẻ trung, năng động, sáng tạo, hòa đồng, vui vẻ. 3. Chính sách khác Phụ cấp ăn ca 40k/ngày công Thưởng lễ, tết Chính sách BHXH, BHYT và các phúc lợi khác theo quy định của Luật và của Công ty. Chế độ nghỉ mát theo quy chế của công ty Chế độ nghỉ phép theo quy định của Luật Lao động Chế độ hiếu, hỉ, sinh con Địa điểm làm việc (đã được cập nhật theo Danh mục Hành chính mới - thêm quận/huyện cũ tương ứng để dễ dàng tra cứu) - Hà Nội: 15 Lê Văn Thiêm, Phường Thanh Xuân (quận Thanh Xuân cũ)"
1,"Nhân Viên Kinh Doanh","Công ty cổ phần EMSO Việt Nam","- Hà Nội: 250 Minh Khai, Phường Tương Mai (quận Hai Bà Trưng, quận Hoàng Mai cũ)","https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh/666894.html","T2 – Sáng T7
- Sáng:    8h30 – 12h00
- Chiều: 13h30 – 17h30"
1,"Nhân Viên Tư Vấn/ Sale Online/ Chăm Sóc Khách Hàng (Game) - Thu Nhập Hấp Dẫn","Công Ty TNHH CNLGAMING","- Hồ Chí Minh: 195-197 Nguyễn Thị Nhung, Phường Hiệp Bình (Thành phố Thủ Đức cũ)","https://www.topcv.vn/viec-lam/nhan-vien-tu-van-sale-online-cham-soc-khach-hang-game-thu-nhap-hap-dan/1662973.html","lịch sẽ được công ty sắp xếp: Làm việc theo ca, tại công ty (không làm việc online) - Khung giờ chiều: 15h > 23h - Khung giờ đêm: 23h >7h LƯU Ý: Địa chỉ làm việc: Nguyễn Thị Nhung, Khu Đô Thị Vạn Phúc, Hiệp Bình Phước, TP. Thủ Đức Thu nhập Thu nhập khi đạt 100% KPI: Từ 12 triệu VND trở lên Thu nhập tính theo tỷ lệ đạt KPI Lương cứng không phụ thuộc doanh số Quyền lợi - Lương chính thức: 7 triệu. - Lương part- time giờ tỉ lệ. + Làm việc trong khung giờ: 18h > 22h: lương nhân thêm 10% + Làm việc trong khung giờ: 22h > 8h: lương nhân thêm 30% - Lương thử việc: 85% lương chính thức + x3 lương từ 7 đến 12 ngày lễ, tết trong năm. + Phép năm tích lũy + 6 tháng cộng thêm 1 bậc lương, + Thưởng Cuối năm + thưởng theo năng lực và thái độ sau 6 tháng làm việc + Thưởng nhân viên xuất sắc mỗi tháng, thưởng lễ, thưởng chuyên cần, thưởng profit - Môi trường làm việc thoải mái, thân thiện... - Được đào tạo kỹ năng giao tiếp, trao đổi, kỹ năng phát triển bản thân, tiếng Anh giao tiếp cơ bản - Teambuilding Địa điểm làm việc (đã được cập nhật theo Danh mục Hành chính mới - thêm quận/huyện cũ tương ứng để dễ dàng tra cứu) - Hồ Chí Minh: 195-197 Nguyễn Thị Nhung, Phường Hiệp Bình (Thành phố Thủ Đức cũ)"
1,"Graphic Designer - Ngành Phụ Kiện Ô Tô","CÔNG TY TNHH XUẤT NHẬP KHẨU MT GROUP","- Hồ Chí Minh: 39 Đào Trí Quận 7, Phường Phú Thuận (Quận 7 cũ)","https://www.topcv.vn/viec-lam/graphic-designer-nganh-phu-kien-o-to/2126215.html","Thời gian làm việc: T2 - T7 (8:30 - 12:00; 13:30 - 17:30), T7 chỉ làm 02 ngày/1 tháng."
1,"Marketing Manager (Mobile App)","CÔNG TY TNHH ĐẦU TƯ VUCAPITAL","- Hà Nội: Vũ Trọng Phụng, Phường Thanh Xuân (quận Thanh Xuân cũ)","https://www.topcv.vn/viec-lam/marketing-manager-mobile-app/2141765.html","- Giai đoạn đầu: Remote Full-time, sau vài tháng sẽ làm Offline tại VP;
- Thời gian làm việc: 7h/ngày, Sáng Thứ 2 - Sáng T7 hàng tuần (9h00-12h00, Chiều 13h30-17h30)- Sáng T7 làm Remote;"
1,"IT Japan Communication","Công Ty TNHH Công  Nghệ K&G","- Hồ Chí Minh: R4-11 Hưng gia 1 Phú Mỹ Hưng Tân Hưng, Phường Tân Hưng (Quận 7 cũ)","https://www.topcv.vn/viec-lam/it-japan-communication/2125959.html","tại nhà và 50% làm việc tại Cty Địa điểm làm việc (đã được cập nhật theo Danh mục Hành chính mới - thêm quận/huyện cũ tương ứng để dễ dàng tra cứu) - Hồ Chí Minh: R4-11 Hưng gia 1 Phú Mỹ Hưng Tân Hưng, Phường Tân Hưng (Quận 7 cũ)"
1,"Chuyên Viên Chuyển Đối Số (Lark)","CÔNG TY TNHH GROW IN POSSIBILITIES (GIP LLC)","- Hà Nội: 275 Nguyễn Trãi, Phường Thanh Xuân (quận Thanh Xuân cũ)","https://www.topcv.vn/viec-lam/chuyen-vien-chuyen-doi-so-lark/2151730.html","Hà Nội: Số 275 Nguyễn Trãi, Phường Thanh Xuân (quận Thanh Xuân cũ)"
1,"Graphic Designer (Lĩnh Vực EdTech)","CÔNG TY TNHH MARATHON EDUCATION","- Hồ Chí Minh: 29 Nguyễn Hữu Cảnh, Phường Thạnh Mỹ Tây (quận Bình Thạnh cũ)","https://www.topcv.vn/viec-lam/graphic-designer-linh-vuc-edtech/1823936.html","Thứ 2 đến Thứ 6 (09h00 đến 18h00 - Nghỉ trưa từ 12h00 đến 13h00) & Thứ 7 (09h00 đến 13h00 - Online tại nhà)"
1,"Nhân Viên Kỹ Thuật - Có Thể Đi Làm Ngay","CÔNG TY CỔ PHẦN TINI","- Hải Phòng: Tầng 3 TTTM AEON MALL Hải Phòng Lê Chân, số 10 Võ Nguyên Giáp, Phường An Biên (quận Lê Chân cũ)","https://www.topcv.vn/viec-lam/nhan-vien-ky-thuat-co-the-di-lam-ngay/2053551.html","8 tiếng xoay ca linh hoạt, theo sự sắp xếp của Công ty. Off 4 ngày/tháng"
1,"Nhân Viên Sales Phần Mềm Full-Time (Remote)","CÔNG TY TNHH IE VIỆT","- Hồ Chí Minh: (Tất cả phường)","https://www.topcv.vn/viec-lam/nhan-vien-sales-phan-mem-full-time-remote/2108837.html","Ứng viên có thể chọn 1 trong 3 khung giờ làm việc (giờ VN):
🔹 Option 1: Ca gãy 20:00–24:00 & 05:00–09:00
🔹 Option 2: Ca hành chính Mỹ 22:00–07:00 (nghỉ 1h giữa ca)
🔹 Option 3: Ca gãy 02:00AM–11:00AM (nghỉ 1h giữa ca)"
1,"Nhân Viên Sales Phần Mềm Full-Time (Remote)","CÔNG TY TNHH IE VIỆT","- Đà Nẵng: (Tất cả phường)","https://www.topcv.vn/viec-lam/nhan-vien-sales-phan-mem-full-time-remote/2108837.html","Ứng viên có thể chọn 1 trong 3 khung giờ làm việc (giờ VN):
🔹 Option 1: Ca gãy 20:00–24:00 & 05:00–09:00
🔹 Option 2: Ca hành chính Mỹ 22:00–07:00 (nghỉ 1h giữa ca)
🔹 Option 3: Ca gãy 02:00AM–11:00AM (nghỉ 1h giữa ca)"
1,"Nhân Viên Sales Phần Mềm Full-Time (Remote)","CÔNG TY TNHH IE VIỆT","- Huế: (Tất cả phường)","https://www.topcv.vn/viec-lam/nhan-vien-sales-phan-mem-full-time-remote/2108837.html","Ứng viên có thể chọn 1 trong 3 khung giờ làm việc (giờ VN):
🔹 Option 1: Ca gãy 20:00–24:00 & 05:00–09:00
🔹 Option 2: Ca hành chính Mỹ 22:00–07:00 (nghỉ 1h giữa ca)
🔹 Option 3: Ca gãy 02:00AM–11:00AM (nghỉ 1h giữa ca)"
